A	a
insigne	badge.
insignio	to put a mark upon, adorn, distinguish.
insignis	distinguished.
insigniter	to be built on/ distinction/distinguished, excellent/excellence.
insigno	to engrave.
insinuo	to insinuate, work one's way in, intimate.
insisto	to  persist in, urge. to enter upon  tread; (with d.) follow.
insolesco	to grow haughty.
insolita	unaccustomed, unusual.
insolitus	unaccustomed /unusual, strange, uncommon.
insolubilis	indissoluble.
insperate	unexpectedly.
insperatus	unexpected, unlooked for, unanticipated.
inspicio	to consider, perceive.
inspiro	to inspire.
insquequo	until.
instabilitas	constant motion, restlessness.
instanter	urgently.
instar	a form, figure, after the fashion of, like.
instigator	abetter
instigatus	incited.
instigo	to goad, incite, stimulate, urge.
instituo	to establish, found, institute.
instituo-ui-utum	3, put in place, begin.
institutio	custom, institution, tradition.
insto	to be earnestly engaged in, draw nigh. to pursue eagerly, devote oneself to.
instructus	trained, taught. versed in.
instruo	prepare, provide /draw up an order of battle. to built in, set up, construct, furnish /train. to draw up.
insuadibilis	adamant, immovable, not to be persuaded.
insudo	(with ablative) exert oneself in, busy oneself with.
insula	island.
insulto	to leap at or on /revile, insult, deride, heap scorn upon.
insultus	attack, assault.
insum	 to be in or on, contained in, within.
insumo	get one's wish, obtain one's desire.
insumptuosus	inexpensive, cheap, economical.
insuper	as mentioned above.
insurgo	to rise up/  ply one's oars.
integer	irreproachable, chaste. whole, untouched, unhurt, undamaged /complete, entire.
integritas	integrity.
intellectus	meaning, understanding.
intemporaliter	eternally, without end.
intendo	to extend, aim, direct, direct one's course, aim at. to stretch, strain, try to prove.
intenta	earnestness, seriousness.
intentio	effort, exertion, attention, intent / attack, accusation. intention, plan, aim, design, purpose.
intentor	informant.
intentus	thorough, tense, anxious, strict.
inter	(+ acc.) between, among. approximately, about, around, roughly.
intercapedo	interval, space.
interdico	to forbid, prohibit, outlaw, gain an injunction. to forbid. to place an interdict.
interdum	sometimes, now and then, at times.
intereo	to perish, die, go to ruin, decay. to perish, die. to to be undone, take part in.
interfectio-onis	f, a killing.
interfixus	paved, made firm.
interimo	to slay, kill, slaughter.
interitus	ruin, destruction.
internecio	destruction.
internuntius	go-between.
internus	deep, inward.
interpellatio	to appeal, suit.
interpolatio	interval.
interpono	to place between, interpose /intervene.
interpretor	to explain.
interrogatio	interrogation, inquiry.
interrogo	to inquire.
intertio	arrest, seize, take into custody.
interventus	mediation.
intervigilium	a nap, a doze, forty winks.
intestinus	internal, inner.
intextus	embroidered.
intimo	to announce.
intolerabiliter	unsupportably.
intoneo	to resound.
intorqueo	twist, distort.
intransitive	to depart.
intrepidus	eager, hot-blooded. unshaken, undaunted.
intrico	to entangle.
intro	to walk into, enter, make one's way into.
introduco	to lead in, introduce.
intueor	to admire, contemplate, observe, look upon. to look at attentively, gaze at, consider.
intueri	contemplate
intuitus	contemplation.
intumesco	to swell up, increase, swell with anger. to swell, puff up.
intus	within.
inultus	unavenged, unpunished.
inundantia	flood, overflowing, inundation.
invado	to assail, usurp, seize, attack, fall upon. to attack, usurp. to undertake, go in, enter, get in.
invalesco	to gather strength, become stronger.
invectio	invective, scolding.
invective	scoldingly.
invenio	to come upon, find, discover.
inventor	contriver, inventor, discoverer.
investigo	to track down, investigate.
inveteratus	hardened by age, of long-standing.
invetero	to give duration, to render old.
invicem	one after the other, by turns, mutually, each other. reciprocally.
invictus	unconquer, unconquerable, undefeated.
invideo	to envy, be jealous of, look upon with envy. to envy, refuse.
invidia	envy, jealousy, hatred /censure.
invidus	envious.
inviso	to go to see, visit, inspect, look at.
invisus	hated, hateful.
invito	to invite, summon.
invitus	unwilling, against one's will.
invocatio	invocation, an invoking.
involvo	to wrap.
iocus	joke, jest, jape, gag.
ipsemet	his own very self.
ira	anger, wrath.
iratus	angry, wrathful.
ire	(+ dat.) to go to meet, oppose /help, remedy. 
ironice	ironically.
irradio	to beam forth.
irrepo	to insinuate oneself, steal in.
irretitus	caught in a net, trapped.
irreverens	disrespectful.
irrisorie	ironically, with a smile.
irrito	to irritate, exasperate, excite.
irritum	nothingness, worthlessness, vanity.
irritus	undecided, void, unfixed, of no effect. vain, useless, ineffectual, of not effect.
irrumpo	to burst upon.
irruo	to rush into, rush upon, attack.
ita	(in narration) and so; (with adj. or adv.) so, so very. so, thus.
itaque	(adv.) and, so, therefore.
item	adv, likewise, moreover.
itero	to repeat, say again, iterate.
iterum	again, a second time, once more.
iubeo	to order, bid.
iucunditas	pleasure, charm.
iucundus	agreeable, pleasant, gratifying.
iudex	judge, juror.
iudicium	judgment, decision, opinion, trial.
iudico	to judge, consider.
iugo	to bind together, connect, couple.
iugosus	mountainous.
iugum	crossbar, beam of scales /crest, ridge. yoke /a team of oxen, a pair /bond, union /slavery.
iuguolo	to cut the throat, butcher, kill, destroy.
iumentum	beast of burden.
iunceus	made of rushes.
iunctio	connection, joining.
iunctura	a joining, joint /rekationship, combination.
iunctus	-a,-um united, connected, joined together.
iuncus	the rush.
iuniperus	the juniper tree.
iuratus	under oath.
iureiuro	to swear an oath.
iurgium	quarrel, altercation, brawl.
iurgo	 to quarrel, brawl /scold.
iurisdictio	administration of justice, extent of competence.
iuro	to swear, to make an oath.
iussu	(abl.) at the command of, by order of.
iusta	due forms /funereal rites.
iuste	fairly, justly, rightly.
iustitia	justice, fairness, equity.
iustum	what is right.
iustus	just, right, equitable, fair, lawful, proper.
iuvenesco	to reach the prime of life.
iuventus	youth (between 20 and 45).
iuvo	to help, aid, assist /to please, delight, gratify.
iuxta	(+ acc.) close to, near to/ (time) just before. close by, near/ in like manner, equally. just short of.
iuxtim	equally.
ivi	past tense of eo.
jaceo-ere-ui	to stand (that which is stated).
jacio	to cast.
jactantia	ostentation, bragging.
jactito	boast.
jaculum	dart, javelin. dart, javelin. dart.
jubilo	to shout.
jubilus	shout of joy.
jucundus	pleasant, delightful .
judicium	trial, legal investigation, judgement, decision.
judico	to condemn, judge, try. to pass judgment.
juge	always.
jugis	continual, ceaseless, perennial, constant. continual, perpetual.
jugiter	continually, perpetually, constantly / instantly. perpetually, continually.
jugulo	to slaughter.
jugum	ridge, rising.
jumentum	draft animal.
juramentum	oath, act of oath-taking.
jurgium	strife, contention/ to cause strife, brawl.
jus	right, law.
jussio	order.
justicia	equity, justice.
justifico	to forgive.
justus	equitable.
juvenis	young man, youth.
juventus	the age of youth (20-40 years).
juxta	adv, in a like manner, likewise.
labasco	to give way, totter.
labecula	a slight stain, minor disgrace.
labefacto	to weaken, disturb /shake violently.
labellum	a little lip /a small washing vessel.
labes	fall
labiae	lips
labilis	transient, fleeting, slippery.
labiosus	having large lips.
labo	to totter, sink, begin to fall. to totter.
labor	hardip, fatigue, distress. hardship, exertion. to sink, slip away.
laboriose	laboriously, with great effort.
laboriosus	toilsome, laborious /(persons) industrious, toiling.
laboro	(intrans.) to work, toil, suffer, be afflicted, be troubled.
labrum	lip, edge, rim /bathing tub.
labrusca	wild grape vine.
labruscum	the wild grape.
lacer	mangled. torn, mangled, cut to pieces.
lacerare	tear
lacerat	tears
laceratio	a tearing, mangling.
laceratus	torn to pieces, mutilated.
lacero	to tear to pieces, mangle /squander money /slander someone.
lacerta	lizard.
lacertosus	muscular, powerful.
lacertus	the upper arm /strength.
lacesso	to harass, attack.
lacrima	tear teardrop tears /exudations from some plants. weeps
lacrimabilis	lamentable, deplorable, woeful.
lacrimae	tears weeping
lacrimans	tearful
lacrimare	weep
lacrimo	to weep, shed tears /exude, drip.
lacrimosus	tearful tearful, mournful, shedding tears,.
lactans	giving milk.
lactatio	enticement, come-on.
lacteus	milky, of milk, milk-white.
lacto	to allure, entice, wheedle.
lactuca	lettuce.
lacuna	a hole, empty space /pond, pool /deficiency, loss. missing letters, words, or phrases in a manuscript.
lacunar	panelled ceiling.
lacus	a hollow /lake, pool, pond, troough, tank, tub.
laetans	rejoicing, joyous.
laetifico	to rejoice.
laetitia	joy, gladness, delight.
laetor	to be delighted.
laetus	glad delighted.
laganum	a cake.
lama	bog, slough.
lambo	to lap. to lick /(of rivers) to wash.
lamentabilis	lamentable, mournful.
lamentari	weep
lamentatio	weeping weeping, wailing, lamenting.
lamentor	to weep, wail, lament /(trans.) to bewail.
lamia	witch, vampire.
lampas	torch.
lancea	lances.
laneus	woolen.
laniare	tear
laniat	tears
laniatus	a tearing, ripping, mangling, mutilating.
lanio	to mangle.
lanx	dish, platter, plate. scale.
lapsus	fall, fault, error, sliding, gradual movement.
laqueum	noose, halter, snare, trap.
laqueus	snare, trap, noose.
largiflue	bountifully.
largifluus	bountiful.
largior	to give bountifully, shower (with gifts). to lavish, bestow, grant, give abundantly.
largissimum	bounty.
largitas	bounty, liberality.
largitio	bounty.
largus	bountiful.
lascivio	to run riot, play, be wanton.
lasesco	to become tired, grow weary.
late	broadly, widely, extensively.
latebra	covert, hidden recess .
latenter	secretly, in a concealed manner.
later	brick.
latere	to lurk, lie hidden.
latet	to be unknown.
latex	liquid.
latibulum	lurking-hole.
latito	to keep out of the way, be concealed. to lie hidden, be concealed.
latitudo	breadth.
latrator	a barker (such as a dog).
latratus	barking.
latro	(-are) to bark, bay / rant /runble, roar. (-onis) hired servant / mercenary soldier. (-onis) hunter. bandit. robber, bandit, brigand.
latrocinium	mercenary service / highway robbery. villainy / a gang of.
latrocinor	(dep) serve as a mercenary / to rob, steal. to rob on the highway.
latrunculus	highwayman, robber, brigand, bandit / mercenary soldier.
latus	broad, wide, extensive. broad.
laudabilis	praiseworthy, laudable.
laudabiliter	(adv) in a laudable fashion.
laudatio	praise, commendation.
laudator	praiser.
laudo	to praise, extoll, commend /name, mention, cite, quote.
laureatus	crowned with laurel, laureate.
laureola	a laurel branch, crown of laurel. victory, triumph, success.
laurifer	carrying laurel, crowned with laurel. triumphant, victorious.
laurus	the laurel, bay tree / triumph, victory, success.
laus	praise, glory, fame.
lautitia	splendor, elegance.
lautus	washed, bathed, cleaned / fine, elegant, refined.
lauvabrum	a bath.
lavacrum	bath.
lavatio	washing, bathing.
lavo	to bathe. to wash, bathe/ moisten, get wet / wash away.
laxamentum	a widening, expansion / rest, respite.
laxe	widely, loosely / unrestrained. widely.
laxitas	wideness, expansiveness, roominess.
laxo	sell formally, give up, loosen. to relieve / release, set free, liberate / yield up. widen, extend, enlarge / undo, relax.
laxus	wide, spacious /later, postponed / lax, loose, relaxed.
lebes	copper kettle, basin, cauldron.
lectica	litter, bier.
lectio	reading selection, picking out / reading, perusal.
lector	reader reader.
lectulus	a small bed, cot.
lectus	bed, couch.
legatarius	legatee.
legatio	embassy. office of legate / office of ambassador, embassy commander.
legatus	ambassador, messenger. deputy, ambassador, envoy / commander of a legion.
legens	(-entis) a reader. reader
legere	read
legifer	lawgiving.
legio	a selection / chosen body / legion. legion.
legit	reads
legitiums	lawful, licit, right, proper, legitimate.
lego	appoint, select. to gather, choose, collect, pass through, read.
legumen	a bean, pea, legume.
lemiscus	a ribbon.
lemma	theme, title, epigram.
lemures	(pl. only) ghosts, phantoms.
lenimentus	alleviation, impreovement, mitigation.
lenio	to mitigate, relieve, make better.
lenis	gentle. smooth /gentle, kind, mild. sympathetic
lenitas	mildness.
leniter	gently.
leno	procurer, go-between.
lenocinium	enticement, allurement.
lenocinor	to pander, flatter, make up to /to promote, advance.
lente	slowly, calmly, cooly, deliberately.
lentesco	to become soft, flexible, sticky /to weaken, slacken.
lentitudo	slowness, sluggishness / apathy.
lento	to bend.
lentulus	rather slow, a little slow.
lentus	lethargic, inactive /slow, lingering. tough, resistant, tenacious /supple, pliant /.
leo	lion.
lepide	charminly, wittily, elegantly, pleasantly.
lepidus	charming, witty, pleasant, elegant.
lepor	to charm.
lepus	hare, rabbit.
letalis	mortal, deadly, fatal.
letaliter	mortally, fatally.
letanie	litany.
lethargus	drowsiness, apathy, sleepiness, coma.
letifer	deadly, mortal. death-dealing.
leto	to kill, slay.
letum	death, ruin, annihilation.
levamen	alleviation, mitigation, solace, refreshment.
levamentum	comfort, easing, alleviation, consolation.
levatio	alleviation, mitigation, solace.
leviculus	empty-headed, vain, silly.
levidensis	thin, slight, poor.
levis	 unreliable. light, slight, trivial /beardless, bald /light-armed. rapid, swift /unimpotant /fickle, inconstant /unstable.
levitas	lightness, levity /fickleness, inconstancy /groundlesness.
leviter	lightly, softly, slightly.
levo	to raise, lift up /relieve, ease /diminish, weaken, impair. to smooth, polish.
lex	law.
lex,legis	law
libatio	libation.
libellus	little book.
libens	with good will.
libenter	willingly, with pleasure.
liber	child, offspring.
liberalis	courteous, generous, gentlemanly.
liberaliter	courteously, generously, honorably.
liberatio	release, liberation, aquittal, setting free.
libere	freely, openly, frankly.
libero	to lift (an obstacle), raise. to set free, deliver, liberate, release /exempt.
libertas	freedom, liberty, independence / frankness, candor.
libet	to be pleasing, agreeable.
libido	whim, caprice, violent desire, passionate longing.
libra	scales.
libramen	poise, balance.
libro	to launch, ponder.
licens	unimpeded, free, unrestrained, unchecked.
licentia	license, leave, authorization /freedom, liberty / licentiousness.
licentio	to authorize, permit, dismiss.
liceo	to be valued at, be for sale.
liceor	to offer a price, to offer to buy, bid, proffer, tender.
licet	(as conj.) granted that, although. granted that, although / it is allowed, one may or can. imper v., it is right, just.
licito	to sell.
licitus	permitted, allowed.
ligamen	string, thread.
ligatio	imprisonment, bondage, captivity, servitude.
lignarius	carpenter.
lignator	wood-cutter.
ligo	to bind, tie.
lima	file, polishing, revision.
limbus	band, girdle.
limes	border, frontier.
limito	bound.
limus	mud.
lingua	language, tongue, speech.
linio	to besmear.
lino	to smear, befoul, dirty.
linquo	to forsake.
linteum	linnen, napkin.
liquidus	fluid, flowing, liquid / clear, evident, certain. limpid, liquid.
liquor	fluid.
litigatio	dispute.
litigiosus	contentious.
litigo	to  dispute. to quarrel, dispute.
litis	dispute, contention, fight, battle, fracas.
lito	to propitiate.
littera	letter (of the alphabet).
litterae	(pl.) letter, epistle, missive, note /literature.
livor	black and blue mark, malice, chastisement/punishment, bruises.
loci	(pl.) passages in literary works.
loco	to assign, allot, grant, hire. to place, put, position.
locuples	opulent.
locupletatus	enriched, endowed.
locupleto	to enrich, make wealthy.
locus	place, location, situation, spot. .
loginquitas	distance, remoteness, isolation.
longaminus	patient.
longe	far.
longinquus	remote, prolonged.
longitudo	length.
longus	long.
loquacitas	eloquence.
lorica	hauberk , a knight's service. leather cuirass.
loricatus	wearing armor, armored.
lorum	thong.
lubricus	oily, slippery, slick.
lucerna	lamp.
lucidus	-a-um, shining, bright, clear.
lucinaria	lamp.
lucror	to gain, profit, win.
lucrosus	profitable, gainful.
lucrum	gain, profit.
luctisonus	sad-sounding, mournful, baleful.
luctuosa	feeling sorrowful.
luctus	lamentation, mourning, grief.
luculenta	splendid.
lucus	thicket.
ludicer	playful, means arbitrary, capricious.
ludicrum	game.
ludus	game, sport, school.
lues	plague, pestilence, calamity.
lugeo	to mourn, be in mourning, grieve/(tans,) to lament, bewail.
lugo	mourn.
lugubris	mournful.
lumen	light, lamp, lantern /light of day. the eye /clearness /understanding.
luminarium	light, lamp.
luminosus	bright.
luna	moon moon.
lunae	moons
lunatus	crescent-shaped.
luo	to undergo.
lupus	wolf.
lustro	to survey, encircle.
lutosus	miry.
lux,lucis	light
luxuria	luxury, extravagance, opulence.
luxus	debauchery, extravagance.
macellarius	butcher, slaughter-house.
macer	thin, lean.
macero	to soften, weaken, reduce, torment.
machina	machine
macies	thiness, gauntness /poverty barrenness.
macilentus	lean, thin, skinny.
macresco	to become lean, skinny, thin.
mactabilis	deadly, lethal.
macto	to magnify, glorify, honor /slay, fight, punish, afflict.
macula	stain, mark, spot/ blemish, fault, flaw.
maculo	to stain, blemish, defile, pollute.
maculosus	spotted, speckled, poluted.
madesco	to get wet.
madide	drunkenly.
madidus	wet, moist, soaked, boiled, soft, drunk, dyed, steeped.
magalia	little tents.
magis	more, to a greater extent, rather, for preference.
magister	instructor, teacher, schoolmaster. master, canon / master of a school, professor.
magnificabiliter	splendidly, greatly, terrifically.
magnificentia	magnificence, splendor, eminence, magnanimity.
magnifico	to extol.
magnificus	eminent, splendid, magnificent.
magus	magical.
maiestas	majesty, dignity, greatness.
maiores	(pl.) ancestors.
majores	elders.
mala	jaw.
male	wickedly, with evil intent.
maledicti	sinners
maledictio	curse, abuse.
maleficus	wicked, accursed, evil.
malefidus	faithless.
malens	preferring.
malevolens	malevolent, spiteful person.
malignitas	wickedness.
maligno	to contrive/do maliciously.
maligo	to do/contrive evil.
malum	evil, misfortune, misdeed, crime, injury, damage.
malus	bad
mamilla	teat
mamillae	teats
mamma	teat
mammae	teats teazel
mancipium	slave.
mancipo	to transfer, alienate, seize, catch, give up.
mandatum	commission, charge, entrust. message, command. order, decree, mandate, instruction.
mando	to commit, entrust, order, command. to send word, confide,.
mane	morning, early in the morning, early.
manentia	permanency.
maneo	to remain, stay, stay the night, last, endure, abide by.
manifesto	to make public.
manipulus	maniple.
mano	to flow.
mansuesco	to grow mild.
mansuetudo	mildness.
mansuetus	mild, soft, gentle.
mansurus	that which will endure, abide.
manus	hands
mara	marl .
maritus	husband.
marmoreus	like marble.
maro	to apply marl to the soil.
martyr-yris	martyr.
martyrium	n, martyrdom.
materia	material, substance, matter.
matertera	maternal aunt.
matrimonium	marriage.
maxime	best especially, particularly, principally. greatly, exceedingly, to the highest degree, very.
me	(abl.) me /you'll do fine with ME, baby. (acc.) me /that old black magic has ME in its spell.
medicor	to heal, cure.
medicus	doctor, physician.
medie	moderately.
mediocris	ordinary, average, fair, moderate, mediocre.
meditari	meditate
meditatio	consideration, pondering. meditation practice, preparation, getting ready.
medium	everyday life, the common good, the public eye.
medius	middle, the middle of, central, midst.
mei	my, mine /MY heart belongs to daddy. that old gang of MINE.
melior	better better.
meliorius	better
mellitus	honeyed, sweet as honey.
membrana	thin skin, film, parchment, membrane, prepared skin.
memor	mindful, remembering, grateful, thoughful, prudent.
memoratus	mentioned.
memoria	memory, remembrance, recall, recollection.
mendiosus	full of mistakes, shot with errors.
mendosus	faulty, full of faults.
mensa	table.
merces	wages
mereo	deserve, gain, obtain, serve as a soldier.
meridianus	midday, afternoon, south.
mespilum	medlar
mespilus	medlar
messis	the harvest, in-bringing, crop.
messor	reaper, harvester.
mestitia	misfortune?.
metuo	to fear, dread, be frightened.
metus	fear, dread, anxiety.
meus	my.
mica	crumb, morsel, grain /small loaf.
micans	twinkling, sparkling, shining, gleaming, flashing, glowing.
michina	nostril.
mico	glitter, gleam, shine, sparkle, flash, be bright. to serve /quiver, shake, palpitate.
migrus	small, puny.
mihi	(dat.) me /give ME land, lots of land.
milia	(pl.) thousands.
militus	ground, milled (of grain).
mille	a thousand.
minae	battlements, parapets /threats, menaces.
minagium	duty of the sale of grain.
miniatus	damaged, diminished, lessened, decreased.
minime	in the least degree, very little/not at all, by no means.
minimus	least, smallest, slightest.
ministro	to attend, wait upon, assist. to serve, wait upon, provide, supply.
minor	smaller, less, slighter.
minuere	abate
minuo	to draw blood, let blood, to bleed (someone).
minutor	miner.
miraculose	miraculously.
mire	wonderfully, mervellously, uncommonly.
mirifice	wonderfuly, marvelously, extraordinarily.
miro	to wonder.
miror	to marvel at, admire, wonder.
mirus	quaint wonderful, astonishing, extraordinary.
misellus	miserable, pathetic, wretched,.
miser	wretched, unfortunate, miserable.
miserabile	sadly, mournfully, wretchedly.
miserabilis	sad, wretched, mournful, plaintive.
miseratio	a fine, charge, tax, amercement.
misere	wretchedly, miserably.
misereor	sympathize
miseria	sadness
misericordaliter	mercifully.
misericordia	pity, mercy.
misericorditer	miserably, wretchedly, cruelly.
miseror	(+dative) to pity.
misfacio	to do wrong to, injure, hurt, harm.
missa	holy mass.
mitesco	to grow mild, ameliorate.
mitigo	to make mild or ripe, make smooth, pacify, appease.
mitis	mild, gentle /ripe, mature.
moderamen	management, direction.
moderor	conduct, play an instrument take with moderation, temper. to guide, manage, mitigate, measure. to moderate, diminish, direct, govern.
modeste	discreetly. meekly
modestia	meekness moderation.
modestus	meek moderate. orderly, within bounds, moderate, restrained.
modica	moderate, within bounds, limited, undistinguished.
modicus	ordinary, undistinguished, within bounds. scanty, meager.
modio	a grain measure, a bushel basket.
modius	peck, bushel.
modo	now, just now, only.
modo..modo	at one time .. at another.
modus	measure, bound, limit /manner, method, mode, way.
moenia	walls, fortifications of a city /ramparts /castle, fortress. walls, walled town, city, mansion, dwelling.
moere	bemoan, moan.
moeror	grief, sorrow.
moestifer	sorrowful.
moestitia	sorrow.
moles	huge bulk, massive building, might. weir
moleste	take annoyance/ moleste fero I take annoyance.
molestia	annoyalce, troublesomeness /stiffness, affectation.
molestus	troublesome, disagreeable, annoying.
molimen	an attempt.
molior	to attempt , struggle alone, strive. to build, erect, construct, contrive, toil, struggle.
mollio	to soften, make pliant.
mollis	soft, pliant, flexible, easily moved, gentle.
molliter	gently.
momentum	weight
monachicus	monastic, liturgical.
monachus	monk.
monarchia	monarchy.
monasterium	monastery, abbey, convent.
monastica	religious.
moneo	to warn, admonish, remind, advise, instruct.
monere	warn
monitio	admonition, warning.
monitum	admonition.
monitus	advised
mons,montis	mountain
monstro	to ordain. to show, appoint, point out, ordain, appoint, nominate.
monstrum	portent, omen, monster. portent.
monumentum	memorial or token of remembrance, remembrance.
mora	delay.
moratlis	mortal.
morbus	sickness, disease, illness.
morior	to die, wither away, decay.
moror	to stay, remain, reside, linger.
morosus	capricious.
mors	death
morsus	a biting, bite, also, sting, pain.
mortalitas	the state of being mortal/ death, a dying.
mortifer	deadly, death-bringing.
mortifera	deadly things.
mortuus	dead, deceased, passed away, gone West, departed.
morulo	to linger.
mos	manners habit, customs. moris/ will, inclination/ custom, wont, usage, rule.
motus-us	m, motion (earth quake).
mox	soon, presently, then, thereupon.
mucro	a sharp point, edge, dagger point. sword's point, sword.
mugio	to groan, bellow, roar, low.
mugitus	bellowing.
mulceo	to soften up.
mulco	to damage.
muliebris	womanly.
mulier	woman.
multi	many, numerous /the common herd.
multicanus	harmonious.
multifariam	in many ways.
multifluus	copiously-flowing.
multigenus	varied, of many kinds.
multimodus	manifold.
multiplex	manifold, many-fold, many times / tortuous. various, numerous.
multiplicatus	multiplied.
multipliciter	in many ways, in various ways.
multo	by much, by far, by a great deal, by a lot. torment, fine, distrain.
multum	much, greatly.
multus	much, great.
mundo	to clean.
mundus	clean, neat, elegant. world, universe.
munero/munerior	to give, present.
munia	tributes, gifts, payments.
munificator	bestower of gifts.
munifico	to present with something, "gratifier".
munificus	munificent, generous.
munimen	fortification.
munimentum	fortification, protection, defenses.
munio	to fortify, defend, protect /build a road.
munita	fortifications.
munitio	fortifying, defense works, bridging, fortification. rampart.
munitus	fortified.
munus	gift, present, spectacle, function, tribute, service.
murmur	roaring, murmuring.
murus	barrier, defending wall.
mus	mouse
mussito	to grumble, mutter.
mutatio	change, alteration, transformation.
mutatus	altered, changed, become different.
muto	punish, fine, mulct. to change, alter /exchange.
mutuo	to borrow, procure.
mutuus	a loan.  interchanged, mutually, reciprocal / reciprocity. reciprocal, mutual.
naevus	fault.
nam	but now, certainly. but now, on the other hand /surely, for it is certain. conj, for, for example, instance. for.
namque	for indeed.
narro	to make known, say, speak, narrate. to set forth.
natio	nation, people.
nativitas	birth.
natu	(ab,sing.) by birth.
natura	nature.
nauta	sailor.
navale	ship's station, dockyard.
navigatio	voyage, navigation.
naviger	ship-bearing.
navigium	navigation.
navigo	to sail, navigate.
navitas	energy, get up and go.
ne	(conj.) that .. not, in order that .. not, in order not to.
nebulosus	misty, foggy.
nec	conj, and not. nor
necatus	killed
necessarius	necessary, needed, essential, necessary. needful, things needed.
necesse	(adj.) necessary, unavoidable, indispensable.
necessitas	need, exigency, unavoidability.
necne	or not.
necnon	and also.
neco	to kill, slay, put to death. to slay.
necto	to fasten together. to tie up, bind, fasten.
nefandus	abominable.
nefarius	execrable, impious.
nefas	wrong, sin.
neglectum	slight.
neglego	to disregard.
negligentia	carelessness.
nego	to deny, refuse a request, deny something to someone.
negotium	employment, business, task, occupation, pains. pains, labor, task, pursuit.
nemo	no one, nobody.
nemorosa	shady.
nemorosus	wooded, covered with trees, forested.
nemus	tree, sacred grove.
neo	to spin, interweave. (to spin thread and yarn).
nequam	vile. worthless, good for nothing, bad.
nequaquam	by no means, not at all. in no wise.
nequeo	not to be able, to be impossible. not to be able.
nequequam	by no means, not at all.
nequiquam	fruitlessly, to no purpose.
nequiter	wretchedly, vilely.
nequitia	vileness.
nescio	to be ignorant, be unaware, not know, be unkowing.
nex	violent death, slaughter, death.
nexus	fastening.
nichilominus	nevertheless.
nidor	vapor, smell, reek, odor.
niger	black.
nihil	(undeclinable) nothing.
nihildom	nothing as yet.
nihilominus	nevertheless.
nihilum	nothing.
nimirum	of course, undoubtedly, certainly (sometimes ironical).
nimis	(adv.) too much, overmuch, excessively. adv. too much, overmuch, excessively.
nimium	(adv.) too much, overmuch, excessively.
nisi	if not, unless, except.
nisus	exertion, endeavor.
niteo	to shine, glitter, be bright, glow, be sleek, flourish.
nitesco	to begin to shine, grow sleek. to begn to shine /to grow fat or sleek.
nitida	glittering.
nitidus	bright, shining /fat, sleek /flowering.
nitor	brillance, brightness, glow, elegance, splendor. splendor, glow, elegance, brilliance, brightness. to endeavor. to rest, lean, support oneself / trust in, depend upon. to strive, exert oneself, make an effort, persevere.
niveus	white, snowy.
nixor	to lean against /strive, strain, labor, struggle.
nixus	strain, effort.
no	(-are) being done, made. (nare, navi) to swim, float, fly, sail.
nobis	(abl.) us /there'll be no one as happy as US. (dat.) us /the world belongs to US.
nocens	bad, wicked, injurious, culpable, evil.
noceo	(+ dat.) to do harm to, inflict injury, hurt. do harm, inflict injury.
nolens	unwilling.
nolo	to to be unwilling.
nomen	name.
nominatim	by name, expressly.
nominor	to be renowned.
non	not.
nondum	not yet.
nonnisi	not? not unless?.
nonnullus	some /pl. several.
nonnumquam	sometimes.
nonus	ninth.
norma	organization.
normalis	regular.
nos	us /they tried to tell US we're too young. we /WE live and die by that creed.
nosco	to become acquainted with, get to know.
nota	mark, token, note, sign.
notabilis	-e, noteworthy, notable, notorious.
notarius	stenographer (class.), notary, legal scribe.
nothus	bastard
notitia	knowledge. information, data, notes, annotations.
noto-are	make note, mark down.
notos	south wind.
nous	intelligence.
novem	nine.
novercalis	malevolent.
novitas	newness, novelty, strangeness.
novo	to make anew, refresh, revive, change, alter, invent.
novus	new, fresh, young, inexperienced, revived, refreshed. novel, unusual, extraordinary /news, novelty, a new thing.
noxa	offense, crime.
noxialis	noxious.
nullatenus	in no wise.
nullus	not any, no, none.
numen	divine will.
numerus	total, category, class, number.
numquam	at no time, never.
nunc	now, at the present time, soon, at this time.
nuncupo	to call, proclaim.
nundinae	trade.
nunquam	never.
nuntio	to announce, report, relate.
nuntium-i	n, messenger.
nuntius	messenger, message.
nuper	newly, recently, not long ago.
nuptiae	wedding.
nuptialis	wedding.
nusquam	nowhere, in no place, nothing, for nothing, never. nowhere, on no occasion / nusquam esse -- not exist.
nuto	to falter in fidelity, give way to, waver in opinion, doubt.
nutrimens	food, nourishment.
nutrimentus	nourishment.
nutrio	to suckle, nourish, bring up, rear.
nutritor	toraise, feed.
nutus	a nod, command, will / gravitation, movement down. a nodding, nod, command, will. command.
obdormio	to fall asleep.
obduco	to draw over, cover/ lead against / pass, spend.
obductio	covering.
obduro	to be hard, persist, endure, last, hold out.
obedienter	obediently.
obedio	to yield obedience to.
obex	barrier.
obfirmo	to bolt, lock, fasten, bar.
objurgo	to fight, attack, oppose.
obligatus	bound, under an obligation.
obliquo	to turn sideways, turn aside.
obliquus	slanting.
oblittero	to cancel, blot out.
oblivio	forgetfulness forgetfulness, oblivion.
obliviosus	forgetful
oblivisci	forget
obnixe	with all one's strength, instantly.
obnoxius	harmful, hostile.
obnubilo	to overcloud.
obruo	to overwhelm, destroy.
obscoena	offensive, filthy.
obscurum	darkness.
